stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
15,WYMNEB,Wyoming & Michigan,Wyoming St & Michigan Ave,42.327192,-83.156513,,,,
21,MKWDEB,Mack & Woodward,,42.347309,-83.057625,,,,
22,MKMIEB,MACK & MITCHELL,Mack Ave & Mitchell St,42.357982,-83.030357,,,,
25,MKMLWB,MACK & MC DOUGALL,Mack Ave & Mcdougall St,42.358312,-83.029953,,,,
32,LRCHEB,Larned & Chene,E Larned St & Chene St,42.339119,-83.022671,,,,
33,KCBVEB,Kercheval & East Grand Blvd.,Kercheval St & E Grand Blvd,42.355455,-83.007627,,,,
34,MCKCEB,McClellan & Kercheval,Mcclellan St & Kercheval St,42.363555,-82.987761,,,,
35,CDWRNB,Cadillac & Warren,Cadillac Ave & E Warren Ave,42.38261,-82.996821,,,,
36,CDHRNB,Cadillac & Harper,Cadillac Ave & Harper Ave,42.392871,-83.00398,,,,
37,HRCNEB,Harper & Conner,,42.397088,-82.989249,,,,
38,HRCMEB,Harper & Chalmers,Harper Ave & Chalmers St,42.404568,-82.96464,,,,
40,MRMKEB,Moross & Mack,Mack Ave & Moross Rd,42.416759,-82.910832,,,,
41,MRMKWB,Moross & Mack,Moross Rd & Mack Ave,42.417467,-82.911599,,,,
42,HRMREB,Harper & Morang,Chester St & Harper Ave,42.418675,-82.932847,,,,
43,KLSENB,Kelly & Seymour,Kelly Rd & Seymour St,42.426427,-82.959271,,,,
44,HRCMWB,Harper & Chalmers,Harper Ave & Chalmers St,42.404649,-82.96497,,,,
45,HRCNWB,Harper & Conner,,42.397106,-82.989298,,,,
46,CDHRSB,Cadillac & Harper,Cadillac Ave & Harper Ave,42.392925,-83.004297,,,,
47,CDWRSB,Cadillac & Warren,,42.382503,-82.996944,,,,
48,WRSJWB,Warren & St. Jean,E Warren Ave & Saint Jean St,42.387241,-82.984035,,,,
49,KCMCWB,Kercheval & McClellan,Kercheval St & Mcclellan St,42.363349,-82.988116,,,,
50,KCBVWB,Kercheval & East Grand Blvd.,,42.355581,-83.007626,,,,
51,LRCHWB,Larned & Chene,Larned St & Chene St,42.339048,-83.02333,,,,
54,LAWBEB,LaSalle - Webb,La Salle Blvd & Webb St,42.384445,-83.111048,,,,
55,TWWDEB,Trowbridge & Woodward,Trowbridge St & Calvert St,42.389345,-83.085923,,,,
56,CFCTEB,Caniff & Conant,Caniff St & Conant Ave,42.402585,-83.052379,,,,
58,VDMLNB,VAN DYKE & MILLER,Van Dyke St & Miller Rd,42.3905,-83.022664,,,,
59,FRGTEB,French Road & Gratiot,French Rd & Gratiot Ave,42.400182,-83.000793,,,,
60,EOGTEB,East Outer Drive & Gratiot,E Outer Dr & Gratiot Ave,42.406105,-82.995714,,,,
61,EOCMEB,East Outer Drive & Chalmers,E Outer Dr & Chalmers St,42.414623,-82.970855,,,,
62,8MGTEB,Eight Mile & Gratiot,E 8 Mile Rd & Gratiot Ave,42.449635,-82.967572,,,,
63,8MGTWB,Eight Mile & Gratiot,E 8 Mile Rd & Gratiot Ave,42.449798,-82.96822,,,,
64,EOCMWB,East Outer Drive & Chalmers,E Outer Dr,42.414686,-82.97116,,,,
65,EOGTWB,East Outer Drive & Gratiot,Gratiot Ave & E Outer Dr,42.406249,-82.996594,,,,
66,FRGTWB,French Road & Gratiot,French Rd & Gratiot Ave,42.400397,-83.000707,,,,
