trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
2139017,06:30:00,06:30:10,910940,0,1
2139017,06:30:57,06:31:07,910939,1,1
2139017,06:32:12,06:32:23,910938,2,1
2139017,06:33:11,06:33:23,910950,3,1
2139017,06:34:06,06:34:16,910949,4,1
2139017,06:35:16,06:35:36,910948,5,1
2139017,06:36:12,06:36:25,910947,6,1
2139017,06:37:37,06:37:52,910946,7,1
2139017,06:38:24,06:38:39,910945,8,1
2139017,06:39:40,06:39:50,910944,9,1
2139017,06:42:30,06:42:42,910943,10,1
2139017,06:43:56,06:44:11,910942,11,1
2139017,06:44:53,06:45:03,910941,12,1
2139017,06:45:44,06:45:54,910940,13,1
2139018,12:00:24,12:00:34,910940,0,1
2139018,12:01:21,12:01:31,910939,1,1
2139018,12:02:36,12:02:47,910938,2,1
2139018,12:03:35,12:03:47,910950,3,1
2139018,12:04:30,12:04:40,910949,4,1
2139018,12:05:40,12:06:00,910948,5,1
2139018,12:06:36,12:06:49,910947,6,1
2139018,12:08:01,12:08:16,910946,7,1
2139018,12:08:48,12:09:03,910945,8,1
2139018,12:10:04,12:10:14,910944,9,1
2139018,12:12:54,12:13:06,910943,10,1
2139018,12:14:20,12:14:35,910942,11,1
2139018,12:15:17,12:15:27,910941,12,1
2139018,12:16:08,12:16:18,910940,13,1
