,stop_id,count,first_bus,last_bus,number_of_routes,stop_lat,stop_lon
0,15,43,05:14:00,21:13:00,1,42.327192,-83.156513
1,21,84,05:08:00,23:08:00,1,42.347309,-83.057625
2,22,84,05:13:29,23:14:23,1,42.357982,-83.030357
3,25,82,05:15:31,23:29:27,1,42.358312,-83.029953
4,32,55,06:11:00,23:31:00,1,42.339119000000004,-83.022671
5,33,100,06:17:01,23:37:01,2,42.355455,-83.007627
6,34,55,06:21:00,23:41:00,1,42.363555,-82.98776099999999
7,35,55,06:30:00,23:48:00,1,42.38261,-82.996821
8,36,55,06:33:00,23:50:00,1,42.392871,-83.00398
9,37,55,06:36:00,23:52:38,1,42.397088000000004,-82.989249
10,38,55,06:41:00,23:57:00,1,42.404568,-82.96464
11,40,113,05:30:00,23:48:00,1,42.416759000000006,-82.910832
12,41,902,04:00:00,23:55:00,6,42.417466999999995,-82.911599
13,42,202,05:03:00,23:45:00,2,42.418675,-82.932847
14,43,71,04:54:33,23:46:33,1,42.426427000000004,-82.959271
15,44,56,05:21:00,23:37:00,1,42.404649,-82.96497
16,45,56,05:24:38,23:40:38,1,42.397106,-82.989298
17,46,56,05:27:00,23:43:00,1,42.392925,-83.004297
18,47,56,05:29:00,23:45:00,1,42.382503,-82.996944
19,48,94,04:29:00,23:56:00,1,42.387240999999996,-82.98403499999999
20,49,65,05:35:00,23:51:00,2,42.363349,-82.988116
21,50,101,05:38:44,23:54:44,2,42.355581,-83.007626
22,51,55,05:45:00,23:38:00,1,42.339048,-83.02333
23,54,57,05:02:00,23:45:00,1,42.384445,-83.111048
24,55,57,05:10:00,23:53:00,1,42.389345,-83.085923
25,56,55,05:48:00,23:01:00,1,42.402584999999995,-83.052379
26,58,92,04:20:26,23:39:35,1,42.3905,-83.022664
27,59,13,06:03:00,18:53:00,1,42.400182,-83.000793
28,60,13,06:05:00,18:55:00,1,42.406105,-82.995714
29,61,13,06:07:00,18:57:00,1,42.414623,-82.970855
30,62,114,05:13:00,23:44:00,1,42.449635,-82.967572
31,63,118,04:27:00,23:48:00,1,42.449798,-82.96822
32,64,13,05:04:00,18:20:00,1,42.414685999999996,-82.97116
33,65,13,05:08:00,18:24:00,1,42.406249,-82.99659399999999
34,66,56,03:40:00,21:35:00,1,42.400397,-83.00070699999999
35,68,56,03:50:00,21:42:00,1,42.404589,-83.037593
36,69,56,03:54:00,21:47:00,1,42.402612,-83.052819
37,71,56,04:10:00,22:05:00,1,42.384606,-83.110974
38,73,9,05:38:01,09:30:01,1,42.373537,-82.943578
39,74,49,05:28:00,20:54:00,1,42.39564,-82.958998
40,75,49,05:31:00,20:56:00,1,42.404783,-82.964811
41,76,203,04:14:00,23:57:00,2,42.435065,-82.9782
42,79,198,04:54:00,23:59:00,2,42.434921,-82.977687
43,80,48,05:38:00,20:38:00,1,42.404801,-82.965079
44,81,94,04:18:28,23:43:18,1,42.407251,-82.927707
45,83,48,05:41:00,20:40:00,1,42.395292,-82.959023
46,84,139,04:30:50,23:30:50,1,42.343681,-83.196814
47,87,47,06:10:00,22:17:00,1,42.352761,-83.032031
48,89,47,06:20:00,22:28:00,1,42.393975,-83.055722
49,90,47,06:25:00,22:34:00,1,42.413067,-83.068668
50,91,47,06:28:00,22:37:00,1,42.425771999999995,-83.07302299999999
51,92,47,06:37:00,22:46:00,1,42.426495,-83.02475
52,93,284,04:30:00,23:53:00,2,42.448046999999995,-83.021271
53,95,49,05:00:00,21:00:00,1,42.425922,-83.024103
54,96,49,05:09:00,21:09:00,1,42.425745,-83.073219
55,97,49,05:12:00,21:11:00,1,42.413273,-83.06900999999999
56,98,49,05:19:00,21:18:00,1,42.3936,-83.055796
57,99,49,05:26:00,21:24:00,1,42.373644,-83.046414
58,100,49,05:32:00,21:29:00,1,42.352554999999995,-83.032252
59,103,41,05:30:00,21:03:00,1,42.312497,-83.090295
60,104,20,05:31:00,19:46:00,1,42.310103999999995,-83.096025
61,105,20,05:36:00,19:52:00,1,42.331553,-83.111651
62,107,20,05:45:00,20:01:00,1,42.365342999999996,-83.13016999999999
63,108,20,05:52:00,20:08:00,1,42.37628,-83.099277
64,110,20,06:01:00,20:17:00,1,42.385858,-83.068291
65,111,69,05:25:37,21:23:38,2,42.374771,-83.046607
66,112,20,06:15:00,20:31:00,1,42.39289,-83.00508
67,116,21,05:15:00,20:15:00,1,42.387401000000004,-82.983839
68,118,68,05:29:00,22:23:00,2,42.374986,-83.046509
69,119,21,05:34:00,20:32:00,1,42.386072999999996,-83.068694
70,121,21,05:43:00,20:40:00,1,42.376334,-83.099925
71,122,21,05:50:00,20:46:00,1,42.365147,-83.130794
72,124,21,06:00:00,20:56:00,1,42.331016,-83.11122399999999
73,125,21,06:05:00,21:01:00,1,42.310936,-83.0965
74,127,659,04:02:00,23:50:00,5,42.441953999999996,-83.121827
75,129,45,05:59:00,20:09:00,1,42.432803,-83.073414
76,130,45,06:02:00,20:12:00,1,42.418517,-83.063473
77,131,45,06:12:03,20:21:03,1,42.387840999999995,-83.04139599999999
78,132,45,06:19:00,20:27:00,1,42.364583,-83.024
79,136,45,05:59:00,20:11:00,1,42.364932,-83.024011
80,137,45,06:04:43,20:16:43,1,42.38785,-83.041335
81,138,50,06:15:00,20:26:00,2,42.418714,-83.063412
82,139,45,06:19:00,20:29:00,1,42.433214,-83.07345
83,140,45,06:22:00,20:32:00,1,42.440048,-83.08346800000001
84,144,51,05:19:22,22:10:49,1,42.420069,-83.003036
85,145,51,05:24:00,22:16:00,1,42.404632,-82.99765
86,146,51,05:27:32,22:19:32,1,42.392641,-82.983138
87,147,51,05:29:00,22:21:00,1,42.389052,-82.97590100000001
88,148,51,05:34:00,22:26:00,1,42.370222,-82.95917
89,153,51,05:46:00,21:48:00,1,42.370114,-82.958841
90,154,51,05:51:00,21:53:00,1,42.389356,-82.976267
91,155,51,05:52:13,21:54:28,1,42.393035999999995,-82.983528
92,159,111,05:10:00,23:40:07,2,42.343083,-83.24268199999999
93,160,94,04:01:45,23:41:45,1,42.34169,-83.259672
94,161,94,04:12:00,23:53:00,1,42.34352,-83.196435
95,162,94,04:15:00,23:56:00,1,42.343841,-83.176732
96,163,93,04:22:00,23:54:00,1,42.344603,-83.129995
97,165,92,04:35:00,23:37:00,1,42.356957,-83.064081
98,167,159,04:08:00,23:53:00,1,42.343933,-83.03850200000001
99,169,92,04:44:00,23:47:00,1,42.373946000000004,-83.010705
100,170,92,04:47:31,23:50:31,1,42.382404,-82.996565
101,171,112,04:50:00,23:53:00,2,42.387178000000006,-82.983693
102,172,92,04:55:00,23:59:00,1,42.395488,-82.958742
103,173,91,05:02:48,23:46:12,1,42.406964,-82.927256
104,175,94,04:24:00,23:50:00,1,42.395489000000005,-82.95926700000001
105,176,94,04:31:11,23:58:38,1,42.382396,-82.997054
106,177,93,04:34:00,23:35:00,1,42.375997999999996,-83.01310699999999
107,178,156,04:21:00,23:32:00,1,42.372795,-83.01898100000001
108,179,156,04:28:00,23:39:00,1,42.34362,-83.039016
109,181,93,04:46:00,23:47:00,1,42.356885999999996,-83.064679
110,183,93,04:59:00,23:59:00,1,42.344782,-83.130667
111,184,91,05:07:00,23:29:00,1,42.344002,-83.17671899999999
112,185,91,05:10:00,23:32:00,1,42.343663,-83.196912
113,186,94,04:04:00,23:44:00,1,42.342921999999994,-83.242499
114,187,91,05:19:54,23:42:54,1,42.341851,-83.259648
115,189,61,05:11:20,20:23:09,1,42.364768,-83.221521
116,190,61,05:16:00,20:27:00,1,42.365271,-83.19720500000001
117,191,61,05:19:58,20:30:26,1,42.365565000000004,-83.177593
118,192,61,05:24:00,20:34:00,1,42.365990000000004,-83.158103
119,193,61,05:27:00,20:37:00,1,42.373768,-83.150766
120,194,61,05:32:00,20:42:00,1,42.386518,-83.139549
121,195,61,05:38:00,20:47:00,1,42.395226,-83.11601
122,196,80,05:54:00,20:27:00,2,42.407198,-83.097998
123,197,25,05:53:22,18:36:22,1,42.413174,-83.068741
124,198,49,05:56:00,18:39:00,1,42.418581,-83.07295
125,200,24,06:01:51,18:12:51,1,42.412844,-83.069158
126,201,138,06:00:00,20:35:00,3,42.406984,-83.099148
127,202,60,06:18:00,20:42:00,1,42.395369,-83.116401
128,203,60,06:23:00,20:47:00,1,42.386733,-83.139989
129,204,60,06:30:00,20:52:00,1,42.373509000000006,-83.15117
130,205,60,06:33:00,20:55:00,1,42.366213,-83.15875
131,206,60,06:37:54,20:59:54,1,42.365833,-83.17801999999999
132,207,60,06:43:00,21:05:00,1,42.365531,-83.19759599999999
133,208,60,06:47:26,21:08:38,1,42.365035999999996,-83.221728
134,210,282,04:00:00,23:45:00,1,42.458774,-83.205157
135,212,109,04:13:00,23:44:00,1,42.418915999999996,-83.21791999999999
136,213,139,04:16:00,23:47:00,1,42.419266,-83.199748
137,214,139,04:25:00,23:56:00,1,42.423867,-83.160174
138,215,137,04:30:00,23:59:00,1,42.417018,-83.140123
139,216,136,04:36:00,23:36:00,1,42.402454,-83.13566
140,217,136,04:44:00,23:44:00,1,42.380983,-83.125437
141,218,136,04:51:00,23:51:00,1,42.357934,-83.10952900000001
142,219,136,04:56:00,23:56:00,1,42.363662,-83.090913
143,220,156,04:59:00,23:59:00,3,42.368793,-83.077035
144,221,135,05:08:00,23:39:00,1,42.341953000000004,-83.058759
145,223,420,03:56:00,23:58:40,3,42.3283,-83.04621999999999
146,224,139,04:06:00,23:42:00,1,42.342166999999996,-83.058514
147,225,139,04:15:00,23:51:00,1,42.368953999999995,-83.077389
148,226,139,04:19:00,23:55:00,1,42.363725,-83.09145
149,227,139,04:23:00,23:59:00,1,42.357863,-83.109151
150,228,138,04:30:00,23:36:00,1,42.381510999999996,-83.125351
151,229,138,04:37:00,23:43:00,1,42.402812,-83.135318
152,230,187,04:42:00,23:48:00,2,42.417286,-83.140636
153,231,138,04:47:00,23:53:00,1,42.424109,-83.160712
154,232,109,04:54:00,23:59:00,1,42.419481,-83.19978499999999
155,233,190,04:11:50,23:58:00,1,42.419086,-83.219717
156,236,233,04:10:00,23:59:00,1,42.428422999999995,-83.285103
157,237,118,04:16:12,23:56:12,1,42.443017,-83.258601
158,238,118,04:19:00,23:59:00,1,42.443571,-83.239102
159,240,117,04:31:00,23:54:00,1,42.445015999999995,-83.180812
160,241,147,04:36:44,23:59:44,2,42.446124,-83.141983
161,242,116,04:44:00,23:52:00,1,42.441936,-83.120763
162,243,115,04:53:00,23:45:00,1,42.447132,-83.08296700000001
163,244,115,05:04:00,23:56:00,1,42.448221000000004,-83.02431700000001
164,245,197,05:58:00,22:49:00,1,42.446069,-82.935924
165,247,118,04:36:00,23:56:00,1,42.448356,-83.02489200000001
166,248,117,04:47:00,23:52:00,1,42.447311,-83.08353000000001
167,249,116,04:58:00,23:50:00,1,42.442115,-83.120457
168,250,145,05:02:17,23:54:41,2,42.446267,-83.142374
169,251,115,05:09:00,23:36:00,1,42.445178000000006,-83.18124
170,253,115,05:23:00,23:50:00,1,42.443785,-83.239494
171,256,62,05:10:00,22:05:00,1,42.399834000000006,-83.27504300000001
172,257,62,05:15:41,22:10:41,1,42.400424,-83.237634
173,258,62,05:19:00,22:14:00,1,42.400822,-83.217389
174,259,62,05:22:22,22:17:22,1,42.401216999999995,-83.198549
175,260,62,05:26:00,22:21:00,1,42.401716,-83.17896400000001
176,261,62,05:29:29,22:24:03,1,42.40224,-83.159439
177,262,62,05:34:00,22:28:00,1,42.402578999999996,-83.135122
178,263,62,05:39:00,22:33:00,1,42.400110999999995,-83.119488
179,264,62,05:44:52,22:38:52,1,42.375012,-83.102994
180,265,62,05:48:00,22:42:00,1,42.362234,-83.09470300000001
181,266,62,05:53:00,22:47:00,1,42.346987,-83.08549000000001
182,267,62,05:56:00,22:51:00,1,42.333762,-83.07790200000001
183,272,62,06:00:00,22:17:00,1,42.333874,-83.073236
184,273,62,06:06:00,22:21:00,1,42.345184,-83.0798
185,274,111,05:51:52,22:28:00,2,42.363949,-83.091169
186,275,111,05:55:24,22:30:18,2,42.376557,-83.09966800000001
187,276,62,06:22:00,22:35:00,1,42.401487,-83.116638
188,277,62,06:26:00,22:38:00,1,42.402678,-83.13572099999999
189,278,62,06:30:53,22:42:18,1,42.402409999999996,-83.15992800000001
190,279,62,06:35:00,22:46:00,1,42.401877,-83.17975899999999
191,285,62,06:38:27,22:49:27,1,42.401378,-83.199197
192,286,62,06:42:00,22:53:00,1,42.401009,-83.218428
193,287,62,06:45:21,22:56:01,1,42.40054,-83.238123
194,288,62,06:52:00,23:02:00,1,42.399941,-83.275947
195,290,82,04:05:00,23:27:00,1,42.322365999999995,-83.066968
196,291,102,04:09:00,23:30:00,2,42.312532,-83.09033199999999
