,stop_id,route_id,interval,count,avg_time_diff,stop_lat,stop_lon
0,15,7029,Early,2,60.0,42.327192,-83.156513
1,15,7029,AM Peak,8,17.133333333333333,42.327192,-83.156513
2,15,7029,Midday,18,17.7,42.327192,-83.156513
3,15,7029,PM Peak,12,16.45,42.327192,-83.156513
4,15,7029,Evening,3,30.0,42.327192,-83.156513
5,21,7018,Early,7,17.333333333333332,42.347309,-83.057625
6,21,7018,AM Peak,16,10.333333333333334,42.347309,-83.057625
7,21,7018,Midday,31,11.366666666666667,42.347309,-83.057625
8,21,7018,PM Peak,20,11.25,42.347309,-83.057625
9,21,7018,Evening,10,19.883333333333333,42.347309,-83.057625
10,22,7018,Early,7,17.333333333333332,42.357982,-83.030357
11,22,7018,AM Peak,16,10.333333333333334,42.357982,-83.030357
12,22,7018,Midday,31,11.416666666666666,42.357982,-83.030357
13,22,7018,PM Peak,20,11.25,42.357982,-83.030357
14,22,7018,Evening,10,19.883333333333333,42.357982,-83.030357
15,25,7018,Early,5,22.266666666666666,42.358312,-83.029953
16,25,7018,AM Peak,17,10.433333333333334,42.358312,-83.029953
17,25,7018,Midday,30,11.75,42.358312,-83.029953
18,25,7018,PM Peak,21,11.3,42.358312,-83.029953
19,25,7018,Evening,9,22.483333333333334,42.358312,-83.029953
20,32,7031,Early,2,37.0,42.339119000000004,-83.022671
21,32,7031,AM Peak,11,15.6,42.339119000000004,-83.022671
22,32,7031,Midday,19,19.266666666666666,42.339119000000004,-83.022671
23,32,7031,PM Peak,14,15.766666666666667,42.339119000000004,-83.022671
24,32,7031,Evening,9,25.5,42.339119000000004,-83.022671
25,33,7007,Early,1,,42.355455,-83.007627
26,33,7007,AM Peak,9,18.5,42.355455,-83.007627
27,33,7007,Midday,20,15.933333333333334,42.355455,-83.007627
28,33,7007,PM Peak,13,16.5,42.355455,-83.007627
29,33,7007,Evening,2,1.0,42.355455,-83.007627
30,33,7031,Early,2,37.583333333333336,42.355455,-83.007627
31,33,7031,AM Peak,11,15.65,42.355455,-83.007627
32,33,7031,Midday,18,18.35,42.355455,-83.007627
33,33,7031,PM Peak,15,15.516666666666667,42.355455,-83.007627
34,33,7031,Evening,9,25.5,42.355455,-83.007627
35,34,7031,Early,2,38.0,42.363555,-82.98776099999999
36,34,7031,AM Peak,11,15.7,42.363555,-82.98776099999999
37,34,7031,Midday,18,18.35,42.363555,-82.98776099999999
38,34,7031,PM Peak,15,15.5,42.363555,-82.98776099999999
39,34,7031,Evening,9,25.5,42.363555,-82.98776099999999
40,35,7031,Early,1,,42.38261,-82.996821
41,35,7031,AM Peak,11,14.1,42.38261,-82.996821
42,35,7031,Midday,19,18.766666666666666,42.38261,-82.996821
43,35,7031,PM Peak,15,15.35,42.38261,-82.996821
44,35,7031,Evening,9,25.5,42.38261,-82.996821
45,36,7031,Early,1,,42.392871,-83.00398
46,36,7031,AM Peak,11,14.1,42.392871,-83.00398
