,stop_id,interval,count,avg_time_diff,stop_lat,stop_lon
0,15,Early,2,60.0,42.327192,-83.156513
1,15,AM Peak,8,17.133333333333333,42.327192,-83.156513
2,15,Midday,18,17.7,42.327192,-83.156513
3,15,PM Peak,12,16.45,42.327192,-83.156513
4,15,Evening,3,30.0,42.327192,-83.156513
5,21,Early,7,17.333333333333332,42.347309,-83.057625
6,21,AM Peak,16,10.333333333333334,42.347309,-83.057625
7,21,Midday,31,11.366666666666667,42.347309,-83.057625
8,21,PM Peak,20,11.25,42.347309,-83.057625
9,21,Evening,10,19.883333333333333,42.347309,-83.057625
10,22,Early,7,17.333333333333332,42.357982,-83.030357
11,22,AM Peak,16,10.333333333333334,42.357982,-83.030357
12,22,Midday,31,11.416666666666666,42.357982,-83.030357
13,22,PM Peak,20,11.25,42.357982,-83.030357
14,22,Evening,10,19.883333333333333,42.357982,-83.030357
15,25,Early,5,22.266666666666666,42.358312,-83.029953
16,25,AM Peak,17,10.433333333333334,42.358312,-83.029953
17,25,Midday,30,11.75,42.358312,-83.029953
18,25,PM Peak,21,11.3,42.358312,-83.029953
19,25,Evening,9,22.483333333333334,42.358312,-83.029953
20,32,Early,2,37.0,42.339119000000004,-83.022671
21,32,AM Peak,11,15.6,42.339119000000004,-83.022671
22,32,Midday,19,19.266666666666666,42.339119000000004,-83.022671
23,32,PM Peak,14,15.766666666666667,42.339119000000004,-83.022671
24,32,Evening,9,25.5,42.339119000000004,-83.022671
25,33,Early,3,18.783333333333335,42.355455,-83.007627
26,33,AM Peak,20,8.233333333333333,42.355455,-83.007627
27,33,Midday,38,8.716666666666667,42.355455,-83.007627
28,33,PM Peak,28,8.2,42.355455,-83.007627
29,33,Evening,11,20.4,42.355455,-83.007627
30,34,Early,2,38.0,42.363555,-82.98776099999999
31,34,AM Peak,11,15.7,42.363555,-82.98776099999999
32,34,Midday,18,18.35,42.363555,-82.98776099999999
33,34,PM Peak,15,15.5,42.363555,-82.98776099999999
34,34,Evening,9,25.5,42.363555,-82.98776099999999
35,35,Early,1,,42.38261,-82.996821
36,35,AM Peak,11,14.1,42.38261,-82.996821
37,35,Midday,19,18.766666666666666,42.38261,-82.996821
38,35,PM Peak,15,15.35,42.38261,-82.996821
39,35,Evening,9,25.5,42.38261,-82.996821
40,36,Early,1,,42.392871,-83.00398
41,36,AM Peak,11,14.1,42.392871,-83.00398
42,36,Midday,19,18.833333333333332,42.392871,-83.00398
43,36,PM Peak,15,15.283333333333333,42.392871,-83.00398
44,36,Evening,9,25.5,42.392871,-83.00398
45,37,Early,1,,42.397088000000004,-82.989249
46,37,AM Peak,11,14.1,42.397088000000004,-82.989249
47,37,Midday,19,18.85,42.397088000000004,-82.989249
48,37,PM Peak,15,15.25,42.397088000000004,-82.989249
49,37,Evening,9,25.5,42.397088000000004,-82.989249
50,38,Early,1,,42.404568,-82.96464
51,38,AM Peak,11,14.1,42.404568,-82.96464
52,38,Midday,19,18.883333333333333,42.404568,-82.96464
53,38,PM Peak,15,15.2,42.404568,-82.96464
54,38,Evening,9,25.5,42.404568,-82.96464
55,40,Early,8,12.133333333333333,42.416759000000006,-82.910832
56,40,AM Peak,21,8.6,42.416759000000006,-82.910832
57,40,Midday,38,9.4,42.416759000000006,-82.910832
58,40,PM Peak,29,8.283333333333333,42.416759000000006,-82.910832
59,40,Evening,17,14.25,42.416759000000006,-82.910832
60,41,Late Night,13,3.9166666666666665,42.417466999999995,-82.911599
61,41,Early,71,1.6666666666666667,42.417466999999995,-82.911599
62,41,AM Peak,153,1.1333333333333333,42.417466999999995,-82.911599
63,41,Midday,315,1.1333333333333333,42.417466999999995,-82.911599
64,41,PM Peak,209,1.1333333333333333,42.417466999999995,-82.911599
65,41,Evening,141,1.6666666666666667,42.417466999999995,-82.911599
66,42,Early,12,9.816666666666666,42.418675,-82.932847
67,42,AM Peak,35,5.016666666666667,42.418675,-82.932847
68,42,Midday,71,5.0,42.418675,-82.932847
69,42,PM Peak,52,4.4,42.418675,-82.932847
70,42,Evening,32,7.183333333333334,42.418675,-82.932847
71,43,Late Night,1,,42.426427000000004,-82.959271
72,43,Early,7,15.083333333333334,42.426427000000004,-82.959271
73,43,AM Peak,12,12.716666666666667,42.426427000000004,-82.959271
74,43,Midday,24,13.933333333333334,42.426427000000004,-82.959271
75,43,PM Peak,17,14.3,42.426427000000004,-82.959271
76,43,Evening,10,22.7,42.426427000000004,-82.959271
77,44,Early,3,46.0,42.404649,-82.96497
78,44,AM Peak,11,15.5,42.404649,-82.96497
79,44,Midday,19,19.166666666666668,42.404649,-82.96497
80,44,PM Peak,14,15.683333333333334,42.404649,-82.96497
81,44,Evening,9,25.616666666666667,42.404649,-82.96497
82,45,Early,3,46.63333333333333,42.397106,-82.989298
83,45,AM Peak,11,15.5,42.397106,-82.989298
84,45,Midday,18,18.266666666666666,42.397106,-82.989298
85,45,PM Peak,15,15.55,42.397106,-82.989298
86,45,Evening,9,25.533333333333335,42.397106,-82.989298
87,46,Early,2,59.0,42.392925,-83.004297
88,46,AM Peak,12,15.716666666666667,42.392925,-83.004297
89,46,Midday,18,18.283333333333335,42.392925,-83.004297
90,46,PM Peak,15,15.5,42.392925,-83.004297
91,46,Evening,9,25.5,42.392925,-83.004297
92,47,Early,2,60.0,42.382503,-82.996944
93,47,AM Peak,12,15.633333333333333,42.382503,-82.996944
94,47,Midday,18,18.283333333333335,42.382503,-82.996944
95,47,PM Peak,15,15.416666666666666,42.382503,-82.996944
96,47,Evening,9,25.5,42.382503,-82.996944
97,48,Late Night,3,8.0,42.387240999999996,-82.98403499999999
98,48,Early,10,11.0,42.387240999999996,-82.98403499999999
99,48,AM Peak,15,11.0,42.387240999999996,-82.98403499999999
100,48,Midday,31,11.8,42.387240999999996,-82.98403499999999
101,48,PM Peak,21,11.1,42.387240999999996,-82.98403499999999
102,48,Evening,14,17.3,42.387240999999996,-82.98403499999999
103,49,Early,5,17.666666666666668,42.363349,-82.988116
104,49,AM Peak,17,9.383333333333333,42.363349,-82.988116
105,49,Midday,19,18.883333333333333,42.363349,-82.988116
106,49,PM Peak,15,15.35,42.363349,-82.988116
107,49,Evening,9,25.366666666666667,42.363349,-82.988116
108,50,Early,4,22.216666666666665,42.355581,-83.007626
109,50,AM Peak,19,7.833333333333333,42.355581,-83.007626
110,50,Midday,41,8.75,42.355581,-83.007626
111,50,PM Peak,26,9.216666666666667,42.355581,-83.007626
112,50,Evening,11,22.916666666666668,42.355581,-83.007626
113,51,Early,2,62.0,42.339048,-83.02333
114,51,AM Peak,11,14.1,42.339048,-83.02333
115,51,Midday,19,18.933333333333334,42.339048,-83.02333
116,51,PM Peak,14,14.916666666666666,42.339048,-83.02333
117,51,Evening,9,26.866666666666667,42.339048,-83.02333
118,54,Early,8,15.7,42.384445,-83.111048
119,54,AM Peak,10,15.216666666666667,42.384445,-83.111048
